content,poetry_author,poetry_name
"
稍离烟瘴近湘潭，疾病衰颓已不堪。,儿女不知来避地，强言风物胜江南。
",吕本中,连州阳山归路
"
,
,
",朱淑真,自责二首
"
,
",朱淑真,落花
"
一春略无十日晴，处处浮云将雨行。,野田春水碧于镜，人影渡傍鸥不惊。,桃花嫣然出篱笑，似开未开最有情。,茅茨烟暝客衣湿，破梦午鸡啼一声。
",汪藻,春日
"
辇毂繁华事可伤，师师垂老过湖湘。,缕衣檀板无颜色，一曲当时动帝王。
",刘子翚,汴京纪事
"
生当作人杰，死亦为鬼雄。,至今思项羽，不肯过江东。
",李清照,夏日绝句
"
,
,
",曾几,苏秀道中
"
,
",曾几,三衢道中
"
耕犁千亩实千箱，力尽筋疲谁复伤？,但得众生皆得饱，不辞羸病卧残阳。
",李纲,病牛
"
,
",陈与义,襄邑道中
"
,
",陈与义,雨晴
"
一自胡尘入汉关，十年伊洛路漫漫。,青墩溪畔龙钟客，独立东风看牡丹。
",陈与义,咏牡丹
"
经年尘土满征衣，特特寻芳上翠微。,好水好山看不足，马蹄催趁月明归。
",岳飞,池州翠微亭
"
,
",萧德藻,樵夫
"
,
",陆游,临安春雨初霁
"
,
",陆游,金错刀行
"
,
",陆游,剑门道中遇微雨
"
,
",陆游,梅花绝句二首·其一
"
,
",陆游,示儿
"
,
,
",陆游,十一月四日风雨大作二首
"
早岁那知世事艰，中原北望气如山。,楼船夜雪瓜洲渡，铁马秋风大散关。,塞上长城空自许，镜中衰鬓已先斑。,出师一表真名世，千载谁堪伯仲间！
",陆游,书愤
"
病骨支离纱帽宽，孤臣万里客江干。,位卑未敢忘忧国，事定犹须待阖棺。,天地神灵扶庙社，京华父老望和銮。,出师一表通今古，夜半挑灯更细看。
",陆游,病起书怀
"
,
,
",陆游,秋夜将晓出篱门迎凉有感二首
"
梅子金黄杏子肥，麦花雪白菜花稀。,日长篱落无人过，惟有蜻蜓蛱蝶飞。(惟 通：唯)
",范成大,四时田园杂兴·其二十五
"
,
",范成大,横塘
"
,
,
",范成大,州桥
"
溪水将桥不复回，小舟犹倚短篙开。,交情得似山溪渡，不管风波去又来。
",杨万里,三江小渡
"
一叶渔船两小童，收篙停棹坐船中。,怪生无雨都张伞，不是遮头是使风。
",杨万里,舟过安仁
"
两岸舟船各背驰，波痕交涉亦难为。,只余鸥鹭无拘管，北去南来自在飞。
",杨万里,初入淮河四绝句·其三
"
泉眼无声惜细流，树阴照水爱晴柔。(阴 一作：荫),小荷才露尖尖角，早有蜻蜓立上头。
",杨万里,小池
"
毕竟西湖六月中，风光不与四时同。,接天莲叶无穷碧，映日荷花别样红。
",杨万里,晓出净慈寺送林子方
"
篱落疏疏一径深，树头新绿未成阴。(新绿 一作：花落),儿童急走追黄蝶，飞入菜花无处寻。
",杨万里,宿新市徐公店
